text,label
"Thông báo về lịch học chính trị đầu khoá cho sinh viên năm nhất","hoc_vu"
"Thông báo về lịch học chính trị đầu khoá cho sinh viên năm nhất","hoc_vu"
"Kế hoạch thu học phí học kỳ 2 năm học 2024-2025","tai_chinh"
"Kế hoạch thu học phí học kỳ 2 năm học 2024-2025","tai_chinh"
"Quyết định bổ nhiệm Trưởng bộ môn Công nghệ thông tin","nhan_su"
"Quyết định bổ nhiệm Trưởng bộ môn Công nghệ thông tin","nhan_su"
"Công văn về việc sửa chữa phòng học, nâng cấp hệ thống điện","co_so_vat_chat"
"Công văn về việc sửa chữa phòng học, nâng cấp hệ thống điện","co_so_vat_chat"
"Thông báo tổ chức hội thảo khoa học cấp trường","nghien_cuu_khoa_hoc"
"Thông báo tổ chức hội thảo khoa học cấp trường","nghien_cuu_khoa_hoc"
